text,form,root,ending,partofspeech,clitic
ic,,ic,0,B,
iu,,iu,0,B,
jeje,,je,0,B,
je,,je,0,B,
oje,,o_je,0,B,
õuje,,õu_je,0,B,
oije,,oi_je,0,B,
jehu,,jehu,0,B,
blabla,,bla,0,B,
bla,,bla,0,B,
ops,,ops,0,B,
aua,,aua,0,B,
prr,,prr,0,B,
krr,,krr,0,B,
vä,,vä,0,B,
jesjes,,jes,0,B,
jes,,jes,0,B,
uh,,uh,0,B,
khm,,khm,0,B,
hm,,hm,0,B,
gr,,gr,0,B,
huh,,huh,0,B,
häh,,häh,0,B,
näh,,näh,0,B,
mäh,,mäh,0,B,
hah,,hah,0,B,
mja,,mja,0,B,
nja,,nja,0,B,
ahjaa,,ah_jaa,0,B,
lol,,lol,0,B,
haha,,haha,0,B,
ha,,ha,0,B,
irv,,irv,0,B,
mh,,mh,0,B,
ahah,,ah,0,B,
ah,,ah,0,B,
muhaha,,muhaha,0,B,
noh,,noh,0,B,
onju,,on_ju,0,B,
no,,no,0,B,
ootoot,,oot,0,B,
oot,,oot,0,B,
einoh,,ei_noh,0,B,
kah,,kah,0,B,
böbö,,bö,0,B,
bö,,bö,0,B,
bubu,,bu,0,B,
bu,,bu,0,B,
vau,,vau,0,B,
hi,,hi,0,B,
hihi,,hihi,0,B,
ee,,ee,0,B,
mämä,,mä,0,B,
mä,,mä,0,B,
fak,,fak,0,B,
xxx,,xxx,0,B,
urur,,ur,0,B,
ur,,ur,0,B,
ossa,,ossa,0,B,
plä,,plä,0,B,
zzz,,zzz,0,B,
